algorithm,d_bks,d_final,delta_K,family,feasible,hit,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GAA_Algorithm_1,1650.79864,1502.195928477025,-11,R1,False,False,R101,19,8,False,success,3.257111072540283
GAA_Algorithm_2,1650.79864,1172.1800291715338,-11,R1,False,False,R101,19,8,False,success,0.17939090728759766
GAA_Algorithm_3,1650.79864,1918.9730412476035,1,R1,False,False,R101,19,20,False,success,0.4821767807006836
GAA_Algorithm_1,1486.85859,1322.5517629919175,-9,R1,False,False,R102,17,8,False,success,3.3009471893310547
GAA_Algorithm_2,1486.85859,1172.1800291715338,-9,R1,False,False,R102,17,8,False,success,0.17239069938659668
GAA_Algorithm_3,1486.85859,1896.3451530965842,2,R1,False,False,R102,17,19,False,success,0.6190352439880371
GAA_Algorithm_1,1292.67493,1274.513462902278,-5,R1,False,False,R103,13,8,False,success,4.320752859115601
GAA_Algorithm_2,1292.67493,1172.1800291715338,-5,R1,False,False,R103,13,8,False,success,0.17470574378967285
GAA_Algorithm_3,1292.67493,1583.53454367954,2,R1,False,False,R103,13,15,False,success,0.6802957057952881
GAA_Algorithm_1,1007.31005,1436.3647446545858,-1,R1,False,False,R104,9,8,False,success,3.622711658477783
GAA_Algorithm_2,1007.31005,1172.1800291715338,-1,R1,False,False,R104,9,8,False,success,0.17121076583862305
GAA_Algorithm_3,1007.31005,1239.4339893445847,2,R1,False,False,R104,9,11,False,success,0.7775895595550537
GAA_Algorithm_1,1377.11046,1507.6608267705956,-6,R1,False,False,R105,14,8,False,success,3.5194180011749268
GAA_Algorithm_2,1377.11046,1172.1800291715338,-6,R1,False,False,R105,14,8,False,success,0.17525601387023926
GAA_Algorithm_3,1377.11046,1606.2052147348402,2,R1,False,False,R105,14,16,False,success,0.576268196105957
GAA_Algorithm_1,1252.03013,1427.2451188248494,-4,R1,False,False,R106,12,8,False,success,3.392455816268921
GAA_Algorithm_2,1252.03013,1172.1800291715338,-4,R1,False,False,R106,12,8,False,success,0.17442965507507324
GAA_Algorithm_3,1252.03013,1658.1193202808224,4,R1,False,False,R106,12,16,False,success,0.6519174575805664
GAA_Algorithm_1,1104.65547,1371.344643352995,-2,R1,False,False,R107,10,8,False,success,2.493459463119507
GAA_Algorithm_2,1104.65547,1172.1800291715338,-2,R1,False,False,R107,10,8,False,success,0.17502570152282715
GAA_Algorithm_3,1104.65547,1472.1475144689014,4,R1,False,False,R107,10,14,False,success,0.7171401977539062
GAA_Algorithm_1,960.87528,1398.536370392606,-1,R1,False,False,R108,9,8,False,success,2.8011932373046875
GAA_Algorithm_2,960.87528,1172.1800291715338,-1,R1,False,False,R108,9,8,False,success,0.17358160018920898
GAA_Algorithm_3,960.87528,1286.6958070262056,2,R1,False,False,R108,9,11,False,success,0.7905395030975342
GAA_Algorithm_1,1194.73359,1321.8460266452073,-3,R1,False,False,R109,11,8,False,success,3.39266037940979
GAA_Algorithm_2,1194.73359,1172.1800291715338,-3,R1,False,False,R109,11,8,False,success,0.1742846965789795
GAA_Algorithm_3,1194.73359,1465.5156044052171,3,R1,False,False,R109,11,14,False,success,0.6411502361297607
GAA_Algorithm_1,1118.83808,1412.3933888830386,-2,R1,False,False,R110,10,8,False,success,2.888198137283325
GAA_Algorithm_2,1118.83808,1172.1800291715338,-2,R1,False,False,R110,10,8,False,success,0.17276525497436523
GAA_Algorithm_3,1118.83808,1367.8203693554192,2,R1,False,False,R110,10,12,False,success,0.7064452171325684
GAA_Algorithm_1,1096.72605,1322.5107066669314,-2,R1,False,False,R111,10,8,False,success,3.09914493560791
GAA_Algorithm_2,1096.72605,1172.1800291715338,-2,R1,False,False,R111,10,8,False,success,0.17376995086669922
GAA_Algorithm_3,1096.72605,1328.948291065708,3,R1,False,False,R111,10,13,False,success,0.7007675170898438
GAA_Algorithm_1,982.13919,1400.8985781045903,-1,R1,False,False,R112,9,8,False,success,3.751035213470459
GAA_Algorithm_2,982.13919,1172.1800291715338,-1,R1,False,False,R112,9,8,False,success,0.17185521125793457
GAA_Algorithm_3,982.13919,1228.2957939133044,2,R1,False,False,R112,9,11,False,success,0.7310988903045654
