================================================================================
TIMING REPORT
================================================================================
Mode: QUICK
Start: 2026-01-03T02:06:49.137074
Total Experiments: 36
  - Algorithms: 3
  - Instances: 12
  - Repetitions: 1
================================================================================

[OK] GAA_Algorithm_1 | R101    (R1) | K= 8, D=  1502.2, t=  3.24s
[OK] GAA_Algorithm_2 | R101    (R1) | K= 8, D=  1172.2, t=  0.18s
[OK] GAA_Algorithm_3 | R101    (R1) | K=20, D=  1919.0, t=  0.48s
[OK] GAA_Algorithm_1 | R102    (R1) | K= 8, D=  1322.6, t=  3.28s
[OK] GAA_Algorithm_2 | R102    (R1) | K= 8, D=  1172.2, t=  0.17s
[OK] GAA_Algorithm_3 | R102    (R1) | K=19, D=  1896.3, t=  0.61s
[OK] GAA_Algorithm_1 | R103    (R1) | K= 8, D=  1274.5, t=  4.32s
[OK] GAA_Algorithm_2 | R103    (R1) | K= 8, D=  1172.2, t=  0.17s
[OK] GAA_Algorithm_3 | R103    (R1) | K=15, D=  1583.5, t=  0.68s
[OK] GAA_Algorithm_1 | R104    (R1) | K= 8, D=  1436.4, t=  3.61s
[OK] GAA_Algorithm_2 | R104    (R1) | K= 8, D=  1172.2, t=  0.20s
[OK] GAA_Algorithm_3 | R104    (R1) | K=11, D=  1239.4, t=  0.79s
[OK] GAA_Algorithm_1 | R105    (R1) | K= 8, D=  1507.7, t=  3.51s
[OK] GAA_Algorithm_2 | R105    (R1) | K= 8, D=  1172.2, t=  0.17s
[OK] GAA_Algorithm_3 | R105    (R1) | K=16, D=  1606.2, t=  0.58s
[OK] GAA_Algorithm_1 | R106    (R1) | K= 8, D=  1427.2, t=  3.43s
[OK] GAA_Algorithm_2 | R106    (R1) | K= 8, D=  1172.2, t=  0.18s
[OK] GAA_Algorithm_3 | R106    (R1) | K=16, D=  1658.1, t=  0.66s
[OK] GAA_Algorithm_1 | R107    (R1) | K= 8, D=  1371.3, t=  2.51s
[OK] GAA_Algorithm_2 | R107    (R1) | K= 8, D=  1172.2, t=  0.17s
