algorithm,d_bks,d_final,delta_K,family,feasible,hit,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GAA_Algorithm_1,1650.79864,1502.195928477025,-11,R1,False,False,R101,19,8,False,success,3.312314748764038
GAA_Algorithm_2,1650.79864,1172.1800291715338,-11,R1,False,False,R101,19,8,False,success,0.17929458618164062
GAA_Algorithm_3,1650.79864,1918.9730412476035,1,R1,False,False,R101,19,20,False,success,0.5005264282226562
GAA_Algorithm_1,1486.85859,1322.5517629919175,-9,R1,False,False,R102,17,8,False,success,3.42350172996521
GAA_Algorithm_2,1486.85859,1172.1800291715338,-9,R1,False,False,R102,17,8,False,success,0.17436671257019043
GAA_Algorithm_3,1486.85859,1896.3451530965842,2,R1,False,False,R102,17,19,False,success,0.6171255111694336
GAA_Algorithm_1,1292.67493,1274.513462902278,-5,R1,False,False,R103,13,8,False,success,4.446303844451904
GAA_Algorithm_2,1292.67493,1172.1800291715338,-5,R1,False,False,R103,13,8,False,success,0.17687225341796875
GAA_Algorithm_3,1292.67493,1583.53454367954,2,R1,False,False,R103,13,15,False,success,0.7019627094268799
GAA_Algorithm_1,1007.31005,1436.3647446545858,-1,R1,False,False,R104,9,8,False,success,3.7244889736175537
GAA_Algorithm_2,1007.31005,1172.1800291715338,-1,R1,False,False,R104,9,8,False,success,0.17735576629638672
GAA_Algorithm_3,1007.31005,1239.4339893445847,2,R1,False,False,R104,9,11,False,success,0.889528751373291
GAA_Algorithm_1,1377.11046,1507.6608267705956,-6,R1,False,False,R105,14,8,False,success,3.6621129512786865
GAA_Algorithm_2,1377.11046,1172.1800291715338,-6,R1,False,False,R105,14,8,False,success,0.18434715270996094
GAA_Algorithm_3,1377.11046,1606.2052147348402,2,R1,False,False,R105,14,16,False,success,0.5860836505889893
GAA_Algorithm_1,1252.03013,1427.2451188248494,-4,R1,False,False,R106,12,8,False,success,3.4578194618225098
GAA_Algorithm_2,1252.03013,1172.1800291715338,-4,R1,False,False,R106,12,8,False,success,0.17482829093933105
GAA_Algorithm_3,1252.03013,1658.1193202808224,4,R1,False,False,R106,12,16,False,success,0.6584014892578125
GAA_Algorithm_1,1104.65547,1371.344643352995,-2,R1,False,False,R107,10,8,False,success,2.539160966873169
GAA_Algorithm_2,1104.65547,1172.1800291715338,-2,R1,False,False,R107,10,8,False,success,0.17676424980163574
GAA_Algorithm_3,1104.65547,1472.1475144689014,4,R1,False,False,R107,10,14,False,success,0.7215766906738281
GAA_Algorithm_1,960.87528,1398.536370392606,-1,R1,False,False,R108,9,8,False,success,2.8572638034820557
GAA_Algorithm_2,960.87528,1172.1800291715338,-1,R1,False,False,R108,9,8,False,success,0.17769503593444824
GAA_Algorithm_3,960.87528,1286.6958070262056,2,R1,False,False,R108,9,11,False,success,0.8095924854278564
GAA_Algorithm_1,1194.73359,1321.8460266452073,-3,R1,False,False,R109,11,8,False,success,3.4627320766448975
GAA_Algorithm_2,1194.73359,1172.1800291715338,-3,R1,False,False,R109,11,8,False,success,0.17847084999084473
GAA_Algorithm_3,1194.73359,1465.5156044052171,3,R1,False,False,R109,11,14,False,success,0.6860918998718262
GAA_Algorithm_1,1118.83808,1412.3933888830386,-2,R1,False,False,R110,10,8,False,success,2.940924882888794
GAA_Algorithm_2,1118.83808,1172.1800291715338,-2,R1,False,False,R110,10,8,False,success,0.1790614128112793
GAA_Algorithm_3,1118.83808,1367.8203693554192,2,R1,False,False,R110,10,12,False,success,0.7271699905395508
GAA_Algorithm_1,1096.72605,1322.5107066669314,-2,R1,False,False,R111,10,8,False,success,3.146773099899292
GAA_Algorithm_2,1096.72605,1172.1800291715338,-2,R1,False,False,R111,10,8,False,success,0.17695283889770508
GAA_Algorithm_3,1096.72605,1328.948291065708,3,R1,False,False,R111,10,13,False,success,0.7197830677032471
GAA_Algorithm_1,982.13919,1400.8985781045903,-1,R1,False,False,R112,9,8,False,success,3.7951579093933105
GAA_Algorithm_2,982.13919,1172.1800291715338,-1,R1,False,False,R112,9,8,False,success,0.17764973640441895
GAA_Algorithm_3,982.13919,1228.2957939133044,2,R1,False,False,R112,9,11,False,success,0.752953290939331
