algorithm,instance_id,family,k_final,d_final,time_sec,status,error
GAA_Algorithm_1,R101,R1,0,0,2.47955322265625e-05,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_2,R101,R1,0,0,1.0251998901367188e-05,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_3,R101,R1,0,0,9.298324584960938e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_1,R102,R1,0,0,7.152557373046875e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_2,R102,R1,0,0,8.58306884765625e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_3,R102,R1,0,0,5.7220458984375e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_1,R103,R1,0,0,8.106231689453125e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_2,R103,R1,0,0,7.867813110351562e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_3,R103,R1,0,0,7.152557373046875e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_1,R104,R1,0,0,6.9141387939453125e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_2,R104,R1,0,0,5.0067901611328125e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_3,R104,R1,0,0,6.198883056640625e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_1,R105,R1,0,0,4.76837158203125e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_2,R105,R1,0,0,7.3909759521484375e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_3,R105,R1,0,0,9.5367431640625e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_1,R106,R1,0,0,9.059906005859375e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_2,R106,R1,0,0,7.3909759521484375e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_3,R106,R1,0,0,8.821487426757812e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_1,R107,R1,0,0,8.344650268554688e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_2,R107,R1,0,0,7.62939453125e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_3,R107,R1,0,0,8.106231689453125e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_1,R108,R1,0,0,8.344650268554688e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_2,R108,R1,0,0,8.106231689453125e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_3,R108,R1,0,0,6.198883056640625e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_1,R109,R1,0,0,7.3909759521484375e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_2,R109,R1,0,0,7.62939453125e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_3,R109,R1,0,0,4.5299530029296875e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_1,R110,R1,0,0,8.344650268554688e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_2,R110,R1,0,0,7.152557373046875e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_3,R110,R1,0,0,6.67572021484375e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_1,R111,R1,0,0,8.106231689453125e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_2,R111,R1,0,0,7.867813110351562e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_3,R111,R1,0,0,6.67572021484375e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_1,R112,R1,0,0,6.4373016357421875e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_2,R112,R1,0,0,5.0067901611328125e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
GAA_Algorithm_3,R112,R1,0,0,8.106231689453125e-06,failed,GreedyConstruct.__init__() got an unexpected keyword argument 'alpha'
